"","text"
"149","Para el pueblo nada es imposible, los diputados deben aprobar el #Presupuesto2020YA, es un suicidio político no escucharnos. Diputados, sirvan al pueblo y #AprietenElBotón https://t.co/zXL1LTwrzk"
"150","@jam_manza @AsambleaSV @nayibbukele @bukele @sociedadcivilsv @EdwinRSV @WalterAleman8 @waraujo64 @NuevasIdeasSV Aleluya nuestra pueblo es grande bendiciones a presionar a esos impresentables #PRESUPUESTO2020YA"
"151","#PRESUPUESTO2020YA"
"152","Diputados de la @AsambleaSV retomó la frase que puso una persona en uno de los carteles.
""EL PUEBLO LES DIO EL PODER Y EL PUEBLO SE LOS PUEDE QUITAR""
#PRESUPUESTO2020YA
#87YA"
"153","@emilio_coreaES No al bono de los diputados.
Aprueben el #PRESUPUESTO2020YA"
"154","#Presupuesto2020 
#PRESUPUESTO2020YA 
#PresupuestoYA https://t.co/4teENvUxNn"
"155","@AsambleaSV #PRESUPUESTO2020YA https://t.co/Yp4rlJyILS"
"156","#PRESUPUESTO2020YA @AsambleaSV https://t.co/KEQYgRGDju"
"157","Empezamos este día junto al pueblo salvadoreño que se hizo presente a exigir se apruebe el #PRESUPUESTO2020YA y mis colegas de fracción @SoniaLopezGANA @LourdesVigilAlt @GGallegos24 
@GANAOFICIAL estamos listos para votar! https://t.co/L80aAr5HEf"
"158","¡¡Haraganes!! Pónganse a trabajar y #AprietenElBoton #Presupuesto2020Ya https://t.co/YiNhOfwcLd"
"159","@Mrelegantesv <U+0001F923><U+0001F602><U+0001F923><U+0001F602><U+0001F60E><U+0001F64F><U+0001F3FB>#PRESUPUESTO2020YA"
"160","@gore_full Que todo sea al favor del pueblo #PRESUPUESTO2020YA <U+0001F1F8><U+0001F1FB><U+0001F64F>"
"161","No solo está en juego #PlazaParaTodos. Es el presupuesto de toda la nación tíos joderr que no es cualquier cosa. #PRESUPUESTO2020YA"
"162","Si se aprueba hoy. Celebraremos en el almuerzo con los panas.
#PRESUPUESTO2020YA"
"163","@emilio_coreaES No al bono de las ratas #PRESUPUESTO2020YA"
"164","#PRESUPUESTO2020YA @AsambleaSV"
"165","Pendiente del Canal Legislativo, asi de atentos estamos a los movimientos de los diputados, cuidadito con seguir el bloqueo al #Presupuesto2020 #PRESUPUESTO2020YA"
"166","#PRESUPUESTO2020YA https://t.co/aok93KXbU1"
"167","#PRESUPUESTO2020YA https://t.co/FIaPqUDg65"
"168","#Presupuesto2020YA https://t.co/laQhiAELFU"
"169","#PRESUPUESTO2020YA #PresupuestoYA MALDITAS RATAS de la DESHONORABLE @AsambleaSV https://t.co/YLGvIdKrOi"
"170","@marioponcesv @nayibbukele Sí verdaderamente está con el pueblo debería de salir y frutales #PRESUPUESTO2020YA"
"171","@juanjmartel @AsambleaSV @ARENAOFICIAL Aparentemente es lo único que le hace falta al #PRESUPUESTO2020YA, el pedazo de queso para las RATAS del @ARENAOFIClAL y @gpfmln es lo único que siempre les ha IMPORTADO a esos malditos."
"172","#PRESUPUESTO2020YA https://t.co/pmNW5kJRsa"
"173","Esos se hartan todo y piden recortes a la seguridad, salud y educación del pueblo. No lo vamos a permitir ¡Exigimos la aprobación del #PRESUPUESTO2020YA!!

 @RevistaRectum @AnonimoSV503 @chinchontepec22 @Mrelegantesv @waraujo64  @_ElUta @Bukelito @LittleCandySV @ThemaskSV https://t.co/UA8Q9k8TQL"
"174","#PresupuestoYA #Presupuesto2020YA https://t.co/dTo6m5z8oc"
"175","Que esperan los diputados de la @AsambleaSV? A qué se les acumule más gente en los portones? #Presupuesto2020Ya"
"176","@heriberto_escob @AnabelBelloso @PNCSV @EmisarioJ @focostv @TVESsv @elnoticiero_6 @noticierostvm @tcsnoticias @NoticieroHechos @FunesCartagena Ya no son gobierno, dejen de estorbar al pueblo salvadoreño!
#PRESUPUESTO2020YA"
"177","@Meganoticias19 @AsambleaSV @sliptone @LuisamayoaTV @FGR_SV @OsirisLunaMeza @rodolfo_parker #PRESUPUESTO2020YA"
"178","Todo un patriota representante del pueblo. <U+0001F1F8><U+0001F1FB>
@waraujo64 
#PRESUPUESTO2020YA https://t.co/YDNvRZkjsc"
"179","#PRESUPUESTO2020YA <U+0001F1F8><U+0001F1FB> https://t.co/rKbdZmoNeY"
"180","@AsambleaSV #PRESUPUESTO2020YA 
No los vamos a dejar salir de su madriguera @ARENAfraccion @FMLNoficial"
"181","@AsambleaSV Aprueben el #PRESUPUESTO2020YA 

Tengan por seguro que si no lo hacen hoy no se van para sus casas inútiles diputados!"
"182","Diputados, no se les esta pidiendo nada extraordinario, solo que ¡HAGAN SU TRABAJO! #PRESUPUESTO2020YA https://t.co/2kPwiRy6yh"
"183","#PRESUPUESTO2020YA https://t.co/OS1Jj1NGZm"
"184","@MilenaMayorga Malditos diputados sucios areneros. Devuelvan lo robado asquerosos. Aquí les está hablando MILENA. #PRESUPUESTO2020YA"
"185","@waraujo64 @AsambleaSV @ravelpak #PRESUPUESTO2020YA"
"186","@waraujo64 @ARENAOFICIAL @FMLNoficial @AsambleaSV TRABAJEN POR EL PUEBLO SALVADOREÑO ARENEROS Y EFEMELENISTAS. #PRESUPUESTO2020YA"
"187","@Meganoticias19 @AsambleaSV @sliptone @LuisamayoaTV @FGR_SV @OsirisLunaMeza @rodolfo_parker Trabajen mareros de la asamblea. Sepan que ya no le dan paja al pueblo. Corruptos asquerosos ARENA Y FRENTE. Devuelvan lo robado. Trabajen mejor huevones. #PRESUPUESTO2020YA"
"188","@jam_manza @nayibbukele #PRESUPUESTO2020YA"
"189","@waraujo64 Abran la puerta corruptos areneros y efemelenistas. #presupuesto2020Ya"
"190","@waraujo64 @AsambleaSV @ravelpak #PRESUPUESTO2020YA YA ES TIEMPO DE TRABAJAR POR EL PUEBLO VELÁSQUEZ PARKER. https://t.co/o0MBgoyxT4"
"191","Diaspora hoy en señal de protesta que todos sus mensajes sea dirigidos a la Asamblea Legislativas, arrobelos en cada uno de sus tuits. Apoyemos #PRESUPUESTO2020YA"
"192","Hoy no quitare mis dedos del teclado apoyando a #PRESUPUESTO2020YA @marioponcesv https://t.co/K4NvNuLfNg"
"193","Y sus patrones afuera exigiéndoles que cumplan #presupuesto2020Ya https://t.co/2cMTzDTS4b"
"194","Y siguen los Salvadoreños esperando por los Diputados , la gente de a pie , gente que ha perdido un día de trabajo y se ha expuesto , los de abajo van por los de arriba ! Y  ya la marcha se acerca a la @AsambleaSV ,Diputados atiendan a la gente !
#Presupuesto2020Ya @nayibbukele https://t.co/KBG5volQ79"
"195","<U+203C><U+FE0F>ayuda  @fulloa51 <U+203C><U+FE0F> es una marcha pacífica y necesitan ser escuchados #CualEsElMiedo #PRESUPUESTO2020YA https://t.co/rZk4zFOUnN"
"196","@jam_manza @nayibbukele #Presupuesto2020Ya"
"197","@RonRonSv @AsambleaSV @marioponcesv #CualEsElMiedo #PRESUPUESTO2020YA https://t.co/Zq2fx7DjZE"
"198","Que nos demuestren los Diputados de que lado están ! El pueblo merece una respuesta  #Presupuesto2020Ya  #CualEsElMiedo https://t.co/XvqFq5vbTW"
"199","#CualEsElMiedo #PRESUPUESTO2020YA @AsambleaSV @nayibbukele  no más excusas <U+203C><U+FE0F><U+203C><U+FE0F><U+203C><U+FE0F> https://t.co/1IYF0wQ8rD"
"200","No hay excusas para no aprobar el presupuesto, el pueblo ya se canso , se están suicidado políticamente ,el pueblo les dio poder y así mismo se los quitará #PRESUPUESTO2020YA #CualEsElMiedo @nayibbukele @AsambleaSV https://t.co/teuUUbWZnK"
"201","#PRESUPUESTO2020YA https://t.co/4zrgb4NkPE"
"202","#PRESUPUESTO2020YA https://t.co/LhXkN1NjTV"
"203","#PRESUPUESTO2020YA 
Nota: pidanle a funes que #devuelvanlorobadoCabrones
Y así siguen con sus programistas de asistencia social. https://t.co/lDXP0gML5j"
"204","#PRESUPUESTO2020YA https://t.co/voCtIC0qjK"
"205","@ultimahsv @nayibbukele Eso se recordará en las próximas elecciones. #PRESUPUESTO2020YA"
"206","#PRESUPUESTO2020YA. 

DIPUTADOS, si en verdad tienen un poco de dignidad y respeto a su pueblo. #Presupuesto2020"
"207","#PRESUPUESTO2020YA https://t.co/Cq3qaDUogY"
"208","@waraujo64 #presupuesto2020ya"
"209","Así de fácil <U+0001F449> #Presupuesto2020YA en el día nos iremos sumando quienes por razones de trabajo no pudimos estar ahí. https://t.co/X2KZBnnXyH"
"210","Youtubers y Poblacion Contra Diputados Salvadoreños 12 Dic 2019 #presupu... https://t.co/JzVL8chXb0 via @YouTube #PRESUPUESTO2020YA @AsambleaSV abrir la casa del pueblo y recibirlos con un refrigerio es lo menos que pueden aser ya que de nuestros impuesto obtienen sus jugosos sue"
"211","@marioponcesv @nayibbukele Se lo robaron no hisieron nada #PRESUPUESTO2020YA @AsambleaSV"
"212","<U+2066>@marioponcesv<U+2069> #presupuesto2020ya la casa del pueblo lo menos que pueden aser recibirlos con un refrigero somos sus fejes les guste o no https://t.co/lA8SH7TVHl"
"213","#PRESUPUESTO2020YA <U+2066>@AsambleaSV<U+2069> https://t.co/JVaks0Sh0e"
"214","#PRESUPUESTO2020YA"
"215","Miren Diputados #PRESUPUESTO2020YA para levantar el país y volver hacer una potencia Centro Americana"
"216","https://t.co/Xo2sySS6T7
Miren el poder del pueblo unido 
#Presupuesto2020ya"
"217","doblegamos a los diputados y entramos a la asamblea queremos presupuesto!!! https://t.co/1kKnOd3tzi via @YouTube esto es el comienzo de muchas mas a fuera Ladrones fuera fuera fuera fuera fuera fuera fuera fuera fuera <U+0001F4E2><U+0001F4E2><U+0001F4E2><U+0001F4E2><U+0001F4E2><U+0001F4E2><U+0001F4E2><U+0001F4E2><U+0001F4E2><U+0001F4E2><U+0001F4E2><U+0001F621><U+0001F44F><U+0001F44F><U+0001F44F><U+0001F44F>#Presupuesto2020ya"
"218","@waraujo64 Uleroooos uleroooos uleroooos se van extinguir #presupuesto2020ya<U+0001F4E2><U+0001F4E2><U+0001F4E2><U+0001F4E2><U+0001F4E2><U+0001F4E2><U+0001F621>"
"219","@Tita_Batres #PRESUPUESTO2020YA"
"220","#PRESUPUESTO2020YA"
"221","Mientras el pueblo pide el #Presupuesto2020Ya ellos con sus banquetes.... 

@datosyopinion @Magnum_SV @VeritoEsme_NI @chinchontepec22 @_ElUta @AnonimoSV503 @smilenio2 @LittleCandySV @waraujo64 https://t.co/ISwwqk9wph"
"222","@marioponcesv @nayibbukele @PCN_Oficial Diputado Ponce convoque este día la plenaria y veamos cuáles diputados están con el pueblo dando su voto al #Presupuesto2020Ya"
"223","@FCristales Contamos con su voto diputada Cristales. 
#PRESUPUESTO2020YA"
"224","No es posible que los diputados nos nieguen un sistema de salud abastecido de medicamentos. Diputados, les ordenamos la aprobación del #PRESUPUESTO2020YA"
"225","Hoy El Salvador exige #Presupuesto2020YA ¡¡Los diputados son nuestros empleados!! #AprietenElBotón https://t.co/cWQy6Dcld3"
"226","Gracias por su contribucion a las exigencias por el bienestar de nuestro pueblo Salvadoreno!@MarceloLarin1
 
@cinco_zavala
 @LaFiscalSV
 @waraujo64
 @saulmontesfm
 @chuna_cesar
 @gore_full

#PRESUPUESTO2020YA https://t.co/GTbOzvpofF"
"227","@Villabull @Nelfuent #AprietenElBoton para el #Presupuesto2020YA"
"228","Por ahí dijo un diputado del @FMLNoficial
que no van aprobar el presupuesto porque el presidente no sabe dirigir el país... PFFF por favor, el presidente ha hecho más en 6 meses que ustedes en 30 años. #PRESUPUESTO2020YA #PresupuestoYA https://t.co/R9doWZz54X"
"229","No hay excusas que el presupuesto no se ha debatido. El prespuesto tiene que ser aprobado HOY. Lo pide el pueblo!
#PresupuestoYA #Presupuesto2020Ya #AprietenElBoton"
"230","@gore_full Desde el fondo de mi corazón , estoy con ustedes clamando por un mejor país!! no pude asistir físicamente  pero mi familia y todos mis conocidos adentro y fuera de El Salvador  estamos con el nuevo gobierno. #PRESUPUESTO2020YA"
"231","#HASTAELTOPE #PRESUPUESTO2020YA https://t.co/X5U7YrZVbk"
"232","@Anlikerinfante Váyase a la Asamblea , ahora está el pueblo gritando bajo el sol  #Presupuesto2020YA para que ustedes puedan trabajar !!"
"233","@misol140 @FONAVIPO Lindo todo!! pero el pueblo está allá bajo el sol en la asamblea legislativa gritando #Presupuesto2020YA para que ustedes puedan trabajar y no los vemos ahí?"
"234","Sueño con un mejor país , mi pueblo , mi gente, mis hermanos Salvadoreños están en la Asamblea Legislativa , que Dios me los cubra con un manto protector y  que logremos el #PRESUPUESTO2020YA"
"235","@TrabajoSV En la asamblea legislativa en el palo de hule los queremos ver!! no nos den atol con el dedo!! vamos a gritar #PRESUPUESTO2020YA"
"236","@nayibbukele Señor Presidente @nayibbukele mientras el pueblo bajo el Sol y con la UMO a la par , sus ministros y sus empleados directos bien chévere !!  y ellos son responsables de cada cartera de estado . Así que quermos verlos con el pueblo pidiendo el presupuesto. #PRESUPUESTO2020YA"
"237","#Presupuesto2020Ya"
"238","#PRESUPUESTO2020YA @gpfmln @ARENAOFICIAL"
"239","#PRESUPUESTO2020YA https://t.co/KBS6CC4GKh"
"240","@AsambleaSV HDPM APRUEBEN EL #Presupuesto2020YA !!"
"241","@marioduran @FMLNoficial @JorgeSchafik #PRESUPUESTO2020YA el pueblo te está viendo <U+0001F60E><U+0001F60E>"
"242","@cinco_zavala @sergiog05163876 @cinco_zavala que Dios bendiga el caminar de cada uno que apoya #Presupuesto2020ya"
"243","@JoseNavarroSV @nayibbukele @JorgeSchafik  tuvieron 10 años y fueron incompetentes ahora dejen trabajar al presidente #PRESUPUESTO2020YA"
"244","@Pique1138 @Pique1138  que no salgan hasta que aprueben #PRESUPUESTO2020YA <U+0001F4AA><U+0001F4AA><U+0001F4AA><U+0001F4AA><U+0001F64C><U+0001F64C>bendiciones"
"245","@JorgeSchafik @gpfmln @JorgeSchafik  aprobar #Presupuesto2020YA <U+0001F621><U+0001F621><U+0001F621><U+0001F621>"
"246","@juanjmartel @AsambleaSV @9TVLegislativa Si mi estimado Sr. Martel porque se lo repartían y eso no pasará en este gobierno por eso lo están reteniendo #PRESUPUESTO2020YA"
"247","Gracias amigo por representarnos dede Canada <U+0001F1E8><U+0001F1E6> presente #PRESUPUESTO2020YA https://t.co/6317G6pKNP"
"248","#presupuesto2020ya"
"249","@IrmaAmaya_ @PanEconomicoSV Irma Amaya basura #presupuesto2020ya @AsambleaSV"
"250","@Mrelegantesv @juanjmartel #PRESUPUESTO2020YA
#PRESUPUESTO2020YA
#PRESUPUESTO2020YA
#PRESUPUESTO2020YA
@AsambleaSV @gpfmln @ARENAfraccion @PCN_Oficial @GANAOFICIAL"
"251","Los frentudos quieren que el gobierno actual fracase!!! Se les va a voltear la tortilla señores!!! No sean tercos!!

#PRESUPUESTO2020YA
#PRESUPUESTO2020YA
#PRESUPUESTO2020YA
#PRESUPUESTO2020YA
@AsambleaSV @gpfmln @ARENAfraccion @PCN_Oficial @GANAOFICIAL"
"252","#PRESUPUESTO2020YA
#PRESUPUESTO2020YA
#PRESUPUESTO2020YA
#PRESUPUESTO2020YA
@AsambleaSV @gpfmln @ARENAfraccion @PCN_Oficial @GANAOFICIAL"
"253","@Txavigo @sandracanales82 @GuadalupeVOfic @marioponcesv Vaya, vaya, señor presidente de la @AsambleaSV @marioponcesv usted debería ser el primero que tenía que haber firmado ese dictamen. No que tan ""a favor"" sale enfrente de cámaras pues?
#presupuesto2020YA"
"254","#Presupuesto2020ya"
"255","#PRESUPUESTO2020YA   https://t.co/xXLVbobumv"
"256","La DIÁSPORA EXIGE que aprueben el presupuesto..este es el primer llamado de muchos que vendrán si no  quieren trabajar para el pueblo.
@ravelpak 
@AsambleaSV 
@rodolfo_parker
@ChatoVargasSV
@normanquijano
@emilio_coreaES

#queremospresupuestoya
#elpuebloexige
#PRESUPUESTO2020YA https://t.co/WNqocb9DlE"
"257","#PRESUPUESTO2020YA https://t.co/xXLVbobumv"
"258","#PRESUPUESTO2020YA https://t.co/ryL4RC3vl0"
"259","#presupuesto2020YA"
"260","Hoy pasamos de lo virtual a lo rreal, #PRESUPUESTO2020YA 
@AsambleaSV 
Sus patrones el Pueblo se los exigimos, hagan su trabajo para eso les pagamos https://t.co/FLfViNTY1v"
"261","@Mrelegantesv @juanjmartel #PRESUPUESTO2020YA .!!!!!!"
"262","Ya en la @AsambleaSV y mientras los Diputados vienen me tomaré un café...
¡Hoy es el día!
#PRESUPUESTO2020YA <U+0001F1F8><U+0001F1FB><U+0001F44A> https://t.co/Pypo5HsRNf"
"263","¡PRESUPUESTO YA!

Hoy se tiene que aprobar el primer presupuesto del Gobierno de @nayibbukele
#PRESUPUESTO2020YA <U+0001F1F8><U+0001F1FB><U+0001F44A> https://t.co/bPBJICIL1q"
"264","Venimos de la manera más pacífica y democrática a exigirle a los Diputados de la @AsambleaSV que aprueben HOY el primer presupuesto del Gobierno de @nayibbukele.

No atrasen las grandes obras y los grandes proyectos para la gente.
#PRESUPUESTO2020YA <U+0001F1F8><U+0001F1FB><U+0001F44A> https://t.co/ijTWbcr2IL"
"265","Hemos Ingresando a la @AsambleaSV para exigir a los Diputados que APRUEBEN HOY el primer presupuesto del Gobierno de @nayibbukele

#PRESUPUESTO2020YA https://t.co/xAQhLKvQA9"
"266","Este es el sentir del pueblo salvadoreño para que los Diputados APRUEBEN HOY el primer presupuesto del Gobierno de @nayibbukele

Faltan las firmas de los mismos de siempre para que pase el dictamen de presupuesto 2020 a ser aprobado.
#PRESUPUESTO2020YA <U+0001F1F8><U+0001F1FB><U+0001F44A> https://t.co/NSrJG4POFS"
"267","¡¡ <U+0001D64B><U+0001D64D><U+0001D640><U+0001D64E><U+0001D650><U+0001D64B><U+0001D650><U+0001D640><U+0001D64E><U+0001D64F><U+0001D64A> <U+0001D654><U+0001D63C> !!
#PresupuestoYa
#Presupuesto2020
#PRESUPUESTO2020YA
#PlanControlTerritorial

@AsambleaSV
@ravelpak
@rodolfo_parker
@norman_quijano

<U+0001D404><U+0001D431><U+0001D42C><U+0001D422><U+0001D423><U+0001D422><U+0001D426><U+0001D428><U+0001D42C> <U+0001D42A><U+0001D42E><U+0001D41E> <U+0001D42D><U+0001D42B><U+0001D41A><U+0001D41B><U+0001D41A><U+0001D423><U+0001D41E><U+0001D427> <U+0001D429><U+0001D41A><U+0001D42B><U+0001D41A> <U+0001D41E><U+0001D425> <U+0001D429><U+0001D42E><U+0001D41E><U+0001D41B><U+0001D425><U+0001D428>, <U+0001D412><U+0001D414> <U+0001D409><U+0001D404><U+0001D405><U+0001D404>. https://t.co/pjSosP4avf"
"268","La @AsambleaSV tiene que APROBAR HOY el #PRESUPUESTO2020 de El Salvador.  <U+0001F1F8><U+0001F1FB>
El PODER POPULAR estará PRESENTE para asegurarse que así sea y hacer Valer el VOX PÓPULI del Verdadero Pueblo Salvadoreño. 
Pdte. @nayibbukele NO ESTAS SOLO..!!! 
#PRESUPUESTO2020YA"
"269","@marlocito ... PUEBLO Y DIÁSPORA PRESENTE EN LA @AsambleaSV. :  APRUEBEN
"" #PRESUPUESTO2020YA 
""..Con Todos los Poderes, @marlocito  <U+0001F44A>"
"270","#Presupuesto2020Ya https://t.co/ocncnomEP0"
"271","#Presupuesto2020YA!! https://t.co/FprRwqjjiI"
"272","@Yanci_Urbina @FMLNoficial @gpfmln Ya siéntese señora. 

Solo son excusas baratas.

#Presupuesto2020Ya"
"273","@FMLNoficial @lorenagpeam #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA"
"274","@damianalegria @lorenagpeam @FMLNoficial #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA"
"275","@emilio_coreaES #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA"
"276","Señores de la @AsambleaSV es necesario que den acceso al portón principal

@Txavigo @waraujo64 @TahnyaPS @Magnum_SV @geovanigaleas1 @GuadalupeVOfic @nayibbukele @ravelpak @norman_quijano @chinchontepec22 @_ElUta @Mrelegantesv 

#PresupuestoYA 
#PRESUPUESTO2020YA https://t.co/055213FJDh"
"277","Más fotos.....

@romeoauerbach 

@AsambleaSV 

Dejen entrar es una marcha pacífica 

Qué pasa? Tienen miedo?

#ApruebenElPresupuestoYa 

#PRESUPUESTO2020YA https://t.co/XuE4txZtlO https://t.co/xWyV8l0sn1"
"278",".@marioponcesv 

Y no puede ayudar con el acceso?

#PRESUPUESTO2020YA 

@AsambleaSV den acceso es una marcha pacífica https://t.co/XuE4txZtlO"
"279","¿Por que no dan acceso?

@AsambleaSV @marioponcesv @norman_quijano @ravelpak @Franciszablah @GuadalupeVOfic 

¿Porque no abren el portón?

¿Que pasa?

#PRESUPUESTO2020YA 

@Txavigo @chinchontepec22 https://t.co/0Q1uY5MTyC"
"280","Ahí está señores!!!

#PRESUPUESTO2020YA 

Desde la #Diaspora 

 https://t.co/CKlbtCoHMQ"
"281","Al final, por más que quieran disfrazarlo, el FMLN quiere NEGOCIAR, y hasta hoy el gobierno del Pdte. 
@nayibbukele
 NO LO HA HECHO y así debe ser.
#Presupuesto2020Ya"
"282","#PresupuestoYA #Presupuesto2020YA https://t.co/ypNaLBRr06"
"283","#PRESUPUESTO2020YA"
"284","@Mrelegantesv @juanjmartel Aquí deberían estar todos los de @GANAOFICIAL @MilenaMayorga @CD_ESA @FCristales y los otros que quieren #PresupuestoYa #PRESUPUESTO2020YA"
"285","@Tita_Batres @ARENAfraccion @AsambleaSV @MedioAmbienteSV @COAMSS_OPAMSS #Presupuesto2020ya"
"286","#PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA"
"287","Si los diputados tienen que aprovar el presupuesto para la seguridaddel pueblo, seria justo que el pueblo tenga que aprovar sus ""BONOS"" de Navidad! #PRESUPUESTO2020YA"
"288","#PRESUPUESTO2020YA <U+0001F44A><U+0001F1F8><U+0001F1FB> https://t.co/zK6akJt0C7"
"289","#PRESUPUESTO2020YA"
"290","@emilio_coreaES #presupuesto2020YA"
"291","@FMLNoficial #presupuesto2020YA!"
"292","#PRESUPUESTO2020YA https://t.co/1BvW61uWLf"
"293","#PRESUPUESTO2020YA https://t.co/ei5Gtjpgn5"
"294","#PRESUPUESTO2020YA https://t.co/G7QWrP6SUi"
"295","#PRESUPUESTO2020YA https://t.co/vm4MxIAWUw"
"296","COBARDES!! #PRESUPUESTO2020YA https://t.co/Om1RTRuHAK"
"297","#PRESUPUESTO2020YA https://t.co/zm4S6Z52gQ"
"298","#PRESUPUESTO2020YA https://t.co/3U6TdAGCfr"
"299","@AsambleaSV
@marioponcesv

Falta poco pa que salgan a pedir el
voto. Y nos la descontaremos, ya no queremos láminas, ni ninguna otra inutilidad que no sea nuestra seguridad, salud, educacion etc. Por tanto. Aprueben el presupuesto.

#PRESUPUESTO2020YA"
"300","Estamos lejos de Nuestra Patria. Pero, sentimos sus gemidos de dolor y desesperación.

Sres: Aprueben el presupuesto 2020.
@AsambleaSV 
@normam_quijano
@rodolfo_parker
@revelpak

#PRESUPUESTO2020YA"
"301","Prepotentes, insensibles con las necesidades de la población, amantes de la INGOBERNABILIDAD, enemigos del PUEBLO.

Al final, por más que quieran disfrazarlo, el FMLN quiere NEGOCIAR, y hasta hoy el gobierno del Pdte. @nayibbukele NO LO HA HECHO y así debe ser.
#Presupuesto2020Ya https://t.co/CMHV3Jf909"
"302","@AsambleaSV Aprueben el presupuesto que es lo que nos interesa a la población, misma que los puso en su cargo como diputados para velar por el bienestar de nosotros el pueblo. #PRESUPUESTO2020YA"
"303","@waraujo64 <U+0001F4AF> Barça y <U+0001F4AF> + al #PRESUPUESTO2020YA  con todo don @waraujo64"
"304","Knock knock Quien esssss EL PUEBLO su JEFE abran esa puerta YA
#PRESUPUESTO2020YA 
@AsambleaSV 
@cinco_zavala 
@chuna_cesar 
@waraujo64 
@MarceloLarin1 
@MBN_Digital 
@marioponcesv 
@MilenaMayorga 
@FCristales 
@Franciszablah"
