"","text"
"305","INFRAESTRUCTURA Y DEPORTE #PRESUPUESTO2020YA https://t.co/y4CqhV1Gm1"
"306","MEDICINA #PRESUPUESTO2020YA https://t.co/smXJxRxq0s"
"307","ABRO HILO 

Explicando porque pedimos tanto el #PRESUPUESTO2020YA"
"308","SEGURIDAD #PRESUPUESTO2020YA https://t.co/CkZZ9GIrqM"
"309","EDUCACIÓN #PRESUPUESTO2020YA https://t.co/mNZn0XLfug"
"310","Hoy el pueblos los necesita apoyo masivo a la marcha, hoy logramos el presupuesto 2020, #PRESUPUESTO2020YA @cinco_zavala @MarceloLarin1 @gore_full @marioduran @LaFiscalSV @chinchontepec22 @Juanapinedag"
"311","Que los mismos de siempre se sientan acorralados la pelea sea a dos bandos ustedes con el pueblo y sus suplentes votando por el #PRESUPUESTO2020YA

@gore_full @cinco_zavala @MarceloLarin1 @chinchontepec22 @Juanapinedag @LaFiscalSV"
"312","Gracias @juanjmartel por el apoyo a tu pueblo, sos grande @juanjmartel sos maradona<U+0001F44F><U+0001F44F><U+0001F44F>, @FCristales @MilenaMayorga @marioponcesv @GGallegos24 @Franciszablah unance a la petición del pueblo, dejen a sus suplentes que voten por el #PRESUPUESTO2020YA"
"313","@Mrelegantesv Esooooo
A dejar en claro a todos en la @AsambleaSV  quién es su jefe, el Pueblo q les paga sus salarios.
Actúen a favor de la gente YA.
#PRESUPUESTO2020YA"
"314","Se me eriza la piel señores somos un pueblo unido para sacar a El Salvador adelante #PRESUPUESTO2020YA"
"315","@nayibbukele  Sr. Presidente acá las #NefastasDeclaraciones del #PayasoDeCirco de #SchafikJr 

No nos queda la menor #Duda que este tipo de personajes son peor que #BasuraPutrefacta, la que ha enfermado a nuestro #País.

#Presupuesto2020Ya 

#Operación2021 <U+0001F4AA><U+0001F3FB><U+0001F44A><U+0001F3FB> https://t.co/kbMRN1jMrn"
"316","Hoy toda una #Nación, un #País le #Exige a la @AsambleaSV y a los #Diputados la #Aprobación del #Presupuesto. 
Jamás en la historia de este #País, el #Presupuesto ha sido tan #Transparente, que de #AñosAnteriores 

No más  #Excusas.

#Presupuesto2020Ya<U+203C><U+FE0F>

https://t.co/gnjCdVJPmr"
"317","This makes me want to tear up. I'm so happy seeing my country progress under the leadership of Bukele. #PRESUPUESTO2020YA <U+0001F64F> https://t.co/Q926hVDe58"
"318","Dejen de bloquear la señal hijos de la gran ****
#PRESUPUESTO2020YA"
"319","@FMLNoficial aquí está el pueblo afuera de tu Curul, vengan y tengan <U+0001F95A><U+0001F95A>de decirnos eso en la cara.

#Presupuesto2020yá https://t.co/lXcbL1EahC"
"320","Así está a las afueras de la @AsambleaSV.

No quieren dejar entrar a nadie.

#PRESUPUESTO2020YA https://t.co/IRaITsbZXR"
"321","Vamos pueblo...demostremos que somos fuertes!!!! #LaDiaspora les apoya desde cada rincón del mundo <U+0001F4A5><U+0001F30E><U+0001F4A5>
#SomosNuevaHistoria 
#PRESUPUESTO2020YA https://t.co/o9NLc6nKBQ"
"322","@Txavigo No vamos a parar hasta que se apruebe el #Presupuesto2020Ya <U+0001F4AA><U+0001F3FB><U+0001F4AA><U+0001F3FB><U+0001F9E2><U+0001F1F8><U+0001F1FB><U+0001F9E2>"
"323","@nayibbukele #Presupuesto2020Ya Felicidades tuiteros que están en la Asamblea ."
"324","Diputados #Presupuesto2020Ya https://t.co/IaiDLhmg3Z"
"325","#Presupuesto2020Ya Felicidades tuiteros que están en la Asamblea . https://t.co/zrOBe17eDw"
"326","#PRESUPUESTO2020YA !! Dipusaurios ud se deben al pueblo."
"327","No hay que moverse de alli hasta que aprueben el presupuesto no los dejen salir...#PRESUPUESTO2020YA https://t.co/AWGAUfBnZR"
"328","@AsambleaSV #PRESUPUESTO2020YA @marioponcesv usted es la máxima autoridad de la casa del pueblo Salvadoreño mande a abrir el portón"
"329","#PRESUPUESTO2020YA @marioponcesv, usted es la máxima autoridad de la @AsambleaSV está o no está a favor del Pueblo Salvadoreño, mande a abrir ese portón de la casa del pueblo que los que están bloqueando el presupuesto sientan la presión #Mismosdesiempre"
"330","#PRESUPUESTO2020YA @AsambleaSV @ARENAfraccion @Nidia_FMLN @FMLNoficial https://t.co/PQsrbHAxwY"
"331","#PRESUPUESTO2020YA @AsambleaSV @ARENAfraccion @ARENAOFICIAL @FMLNoficial @Nidia_FMLN https://t.co/mHdrTQfyhU"
"332","#PRESUPUESTO2020YA  @AsambleaSV"
"333","#PRESUPUESTO2020YA señores diputados @AsambleaSV tienen q responder"
"334","#PRESUPUESTO2020YA SEÑORES NO SE EXPONGAN @AsambleaSV ESCUCHEN AL PUEBLO"
"335","#PRESUPUESTO2020YA señores @AsambleaSV ABRAN EL PORTÓN"
"336","DEVUELVAN EL BONO @AsambleaSV NECESITAMOS #PRESUPUESTO2020YA"
"337","#PRESUPUESTO2020YA @AsambleaSV"
"338","#PRESUPUESTO2020YA abran el portón @AsambleaSV"
"339","#PRESUPUESTO2020YA @AsambleaSV ya es tiempo señores"
"340","#PRESUPUESTO2020YA señores @AsambleaSV https://t.co/TEz3qydGq2"
"341","@con_tuit @nayibbukele Yo no puedo opinar de algo que no he visto,  no he visto el presupuesto anterior ni el nuevo, lo que si me consta es que el trabajo de @nayibbukele está dando resultados y es lo único que me interesa. #PRESUPUESTO2020YA"
"342","@JoseNavarroSV @nayibbukele Sos una grandisima mierda para este pais @JorgeSchafik, el país les devolverá lo que se han buscado.
#PRESUPUESTO2020YA"
"343","@AsambleaSV @norman_quijano #PRESUPUESTO2020YA"
"344","#PRESUPUESTO2020YA
#PRESUPUESTO2020YA 
#PRESUPUESTO2020YA https://t.co/k7CRnoEsZK"
"345","@waraujo64 #PRESUPUESTO2020YA"
"346","@AsambleaSV COBARDES ABRAN LA PUERTA de nuestra casa COBARDES MAÑOSOS. #PRESUPUESTO2020YA"
"347","#PRESUPUESTO2020YA
#PRESUPUESTO2020YA 
#PRESUPUESTO2020YA"
"348","#PRESUPUESTO2020YA"
"349","Si no aprueban el presupuesto señores de la @AsambleaSV ...

Entonces no hay ""BONO"" para ningún funcionario público...

Basta ya de jugar con el pueblo salvadoreño. 

#PRESUPUESTO2020YA 
#NoAlBonodelaAsamblea"
"350","@JoseNavarroSV @nayibbukele Con esa actitud se terminan de acabar los restos que quedan del @FMLNoficial ,que tanto luchó por las reivindicaciones sociales que van contenidas en el presupuesto #PRESUPUESTO2020YA"
"351","#PRESUPUESTO2020YA @AsambleaSV"
"352","Desde Australia  les decimos sres  diputados
#PRESUPUESTO2020YA"
"353","#PRESUPUESTO2020YA"
"354","El mega fracaso de hoy #PRESUPUESTO2020YA  fue liderado por el mega corrupto de @waraujo64 

Los mismos de siempre. Raro que ARENA este listo para aprobar el presupuesto. https://t.co/8xGdgrxYqQ"
"355","No sé ve ningún integrante del gabinete de gobierno para exigir junto al pueblo #PRESUPUESTO2020YA"
"356","La @AsambleaSV le está negando la entra al pueblo salvadoreños el derecho a manifestarse pacíficamente.

Se hace un llamados a todos los q aún NO llegan ÚNANSE, solo el PUEBLO cuida al PUEBLO #PRESUPUESTO2020YA 

Compartan esta información, la @AsambleaSV bloqueo el acceso<U+0001F447><U+0001F3FB> https://t.co/AuCrxi95ow"
"357","@GGallegos24 @GANAOFICIAL @nayibbukele Dejen entrar al pueblo hacer valer su derecho de manifestarse pacíficamente...Ud esta en esa CLICA haga algo???

#PRESUPUESTO2020YA 
#PRESUPUESTO2020YA"
"358","#PRESUPUESTO2020YA 
#PRESUPUESTO2020YA
#PRESUPUESTO2020YA 
#PRESUPUESTO2020YA
#PRESUPUESTO2020YA 
#PRESUPUESTO2020YA 
#PRESUPUESTO2020YA 
#PRESUPUESTO2020YA
https://t.co/DzOXSxHbEg"
"359","El pueblo NO puede manifestarse pacíficamente, la @AsambleaSV ha bloqueado el acceso @fulloa51 @nayibbukele dónde quedó la Democracia???

#PRESUPUESTO2020YA 
#PRESUPUESTO2020YA https://t.co/3hIWGGwc4y"
"360","Entonces porqué NO lo aprueban?? 
#PRESUPUESTO2020YA 

@AsambleaSV @nayibbukele https://t.co/y4domAbeUw"
"361","#PRESUPUESTO2020YA"
"362","@waraujo64 @marioponcesv #PRESUPUESTO2020YA"
"363","EL CLAMOR DEL PUEBLO.

#PRESUPUESTO2020YA 

 https://t.co/pTySa82Lg6"
"364","Las instrucciones y método de aprobación son simples.

Simplemente aprieten el botón.

#PRESUPUESTO2020YA y #PlanControlTerritorial https://t.co/RHJHlQZLmF"
"365","#Presupuesto2020 
#PRESUPUESTO2020YA 
@AsambleaSV habran las puertas el patron esta afuera esto querian esto tienen a hora a buscar soluciones ya https://t.co/O1e0LyVwji"
"366","#PRESUPUESTO2020YA https://t.co/IhM4SxU7Hz"
"367","@romeoauerbach #presupuesto2020ya."
"368","#PRESUPUESTO2020YA"
"369","@romeoauerbach Buen provecho Sr. Romeo...
#Presupuesto2020YA <U+0001F44A><U+0001F3FC>"
"370","@nayibbukele @sandracanales82 #Presupuesto2020YA <U+0001F44A><U+0001F3FC>"
"371","@fulloa51 @AsambleaSV @nayibbukele #Presupuesto2020YA <U+0001F44A><U+0001F3FC>"
"372","@Mrelegantesv @nayibbukele Hoy más que nunca es de hacer historia. !
Mi alma,fuerza y corazón con tus mis herman@s que deseamos un mejor EL Salvador...
#Presupuesto2020YA <U+0001F44A><U+0001F3FC>"
"373","@marioponcesv @sandracanales82 #Presupuesto2020YA <U+0001F44A><U+0001F3FC>"
"374","#PRESUPUESTO2020YA #Presupuesto2020 el pueblo les exige. 
@Tita_Batres https://t.co/6BVpgEPpFC"
"375","#PRESUPUESTO2020YA #Presupuesto2020  maje, el pueblo te lo exige @gpfmln @FMLNoficial https://t.co/MNdJsA3shA"
"376","#PRESUPUESTO2020YA #Presupuesto2020  
@norman_quijano https://t.co/mS9kQtLs76"
"377","#PRESUPUESTO2020YA #Presupuesto2020  @MayteeIraheta https://t.co/ls3IQyVcG1"
"378","#PRESUPUESTO2020YA #Presupuesto2020  
@ChatoVargasSV
 ustedes son nuestros empleados, por eso les exigimos que #AprietenElBoton https://t.co/OMqUNO0W7F"
"379","#PRESUPUESTO2020YA #Presupuesto2020 el pueblo les exige. @Escobarmarga https://t.co/26khSpLWV9"
"380","#PRESUPUESTO2020YA #Presupuesto2020  @PDCrparker https://t.co/iauAZSKvlu"
"381","#PRESUPUESTO2020YA #Presupuesto2020  
@HMargaritaLopez https://t.co/s7KB4XxuON"
"382","#PRESUPUESTO2020YA #Presupuesto2020  TE EXIGIMOS QUE APRETES EL BOTÓN, SOS MI EMPLEADO. @JJavierPalomo https://t.co/NDRUGMZknZ"
"383","#PRESUPUESTO2020YA #Presupuesto2020  
@Nidia_FMLN https://t.co/V4xBtBXydE"
"384","#PRESUPUESTO2020YA #Presupuesto2020  cachetes de marrana flaca, el pueblo te lo exige y vos como empleado tenes que cumplirlo. @emilio_coreaES https://t.co/p1F4IvqTsg"
"385","#PRESUPUESTO2020YA #Presupuesto2020 el pueblo les exige. @Villabull https://t.co/u1j2gma9ue"
"386","#PRESUPUESTO2020YA #Presupuesto2020  @_davidreyes que esperan? https://t.co/3jXd9uAqPK"
"387","#PRESUPUESTO2020YA #Presupuesto2020  
@JorgeSchafik https://t.co/6VW9ozRYLH"
"388","#PRESUPUESTO2020YA #Presupuesto2020  
@ravelpak https://t.co/Ke16I8KwVi"
"389","#Presupuesto2020Ya"
"390","#PRESUPUESTO2020YA https://t.co/lc1fqAaUMI"
"391","@marioduran @AsambleaSV #PRESUPUESTO2020YA"
"392","@AsambleaSV @marioponcesv a que horas le abren la puerta al pueblo!
#PRESUPUESTO2020YA https://t.co/KkNOypMeuT"
"393","#PRESUPUESTO2020YA  con todo los poderes pueblo Salvadoreño hacer justicia por ustedes y por los que por la culpa de esas RATAS tuvimos que salir de nuestro país bendiciones enormes a todos los que ya se dieron cuenta la clase de basura que es @ARENAOFICIAL y el @FMLNoficial https://t.co/EKpcwXpAJH"
"394","#PRESUPUESTO2020YA https://t.co/KdNUQ2UTry"
"395","#PRESUPUESTO2020YA https://t.co/YTe3FemQUB"
"396","#PRESUPUESTO2020YA https://t.co/C7oftCm3bn"
"397","@Chinita_Lohan @Moreno_Duran_ @AsambleaSV @nayibbukele #PRESUPUESTO2020YA"
"398","@AsambleaSV #PRESUPUESTO2020YA"
"399","@AsambleaSV #PRESUPUESTO2020YA"
"400","@AsambleaSV #PRESUPUESTO2020YA"
"401","@AsambleaSV @ChinoFloressv @gpfmln @radio102nueve #PRESUPUESTO2020YA"
"402","#PRESUPUESTO2020YA<U+2728><U+2728><U+2728><U+0001F1F8><U+0001F1FB><U+0001F1F8><U+0001F1FB><U+0001F1F8><U+0001F1FB><U+0001F1F8><U+0001F1FB><U+0001F1F8><U+0001F1FB><U+2728><U+2728><U+2728><U+0001F44A><U+0001F3FC><U+0001F44A><U+0001F3FC><U+0001F44A><U+0001F3FC><U+0001F44A><U+0001F3FC><U+0001F4AA><U+0001F3FC><U+0001F4AA><U+0001F3FC><U+0001F4AA><U+0001F3FC> https://t.co/fEPB6rI5aa"
"403","@waraujo64 #PRESUPUESTO2020YA"
"404","Queremos #Presupuesto2020YA #AprietenElBotón de una vez por todas haraganes de la asamblea!!!! https://t.co/LJKWYdfKps"
"405","@AsambleaSV @waraujo64 #PRESUPUESTO2020YA"
"406","No se hagan los de los panes, dejen entrar @AsambleaSV si igual, el 2021 van para afuera!!! #Presupuesto2020 #PRESUPUESTO2020YA @nayibbukele"
"407","Señores de @AsambleaSV 
Hoy es el día , NO hay excusas...Aprueben.

#PRESUPUESTO2020YA. https://t.co/cUMNyrJMaR"
"408","Hemanos salvadoreños vayan los que tengan las posibilidades de asistir a la concentración pacífica a la @AsambleaSV a exigir la aprobación del presupuesto 2020 y el financiamiento del #PlanControlTerritorial fase 2 y 3 

Sres. Diputados
#Presupuesto2020Ya <U+0001F44A><U+0001F4AA>"
"409","@AsambleaSV como parte de el poder popular exigimos #PRESUPUESTO2020YA !!!!"
"410","Se les recuerda que la presencia en la asamblea es PACÍFICA, tome fotos y videos de aquellos que la irrespeten. #Presupuesto2020Ya"
"411","Los diputados tienen que tener claro que mientras más tardan en aprobar el #Presupuesto2020 más hunden a sus partidos políticos! #PRESUPUESTO2020YA"
"412","#PRESUPUESTO2020YA https://t.co/a3CJhMZoVj"
"413","#PRESUPUESTO2020YA <U+270A> https://t.co/1zP2c3idy5"
"414","Habrán el portón malditos corruptos @AsambleaSV @nayibbukele #PRESUPUESTO2020YA"
"415","Desde Rialto, California me uno moralmente con mis hermanos en la marcha @AsambleaSV  exigimos aprobar #PRESUPUESTO2020YA  no más excusas,somos el poder popular. No más a la inseguridad, No más estorciones. https://t.co/SU3DaMaa5G"
"416","@AsambleaSV @ARENAOFIClAL @FMLNoficial @rodolfoparker @PCN_Oficial  como poder popular les pedimos aprobar el presupuesto 2020. Porque ponen excusas? Dejen al pueblo sentirse querido o odiado no serán Uds los endeudados. #Presupuesto2020Ya https://t.co/ItO95ZwvPY"
"417","la asamblea ha ordenado cerrar las puertas a una concentración pacifica

pero los buenos somos mas

#PRESUPUESTO2020YA https://t.co/AoVijh1OHn"
"418","Más fondos para publicidad y seguros privados, que para la protección y defensa del medio ambiente?
Eso es lo que se quiere con el #PRESUPUESTO2020? O como se explica esa asignación de fondos? #PreguntaSeria @marioponcesv @waraujo64 @MarceloLarin1 #ElSalvador #PRESUPUESTO2020YA https://t.co/fGReSLCNbn"
"419","Fue resuelta la siguiente duda?... Se mantienen los 4 millones para ""transferencias para personas naturales"", en la Unidad de Reconstrucción de Tejido Social? Para qué servirá esos millones? A quienes se les entregará? #Presupuesto2020 #PRESUPUESTO2020YA #ElSalvador https://t.co/111xqczRry"
"420","no hay más excusas, el pueblo mérese una vida digna.   #Democracia  #PRESUPUESTO2020YA @AsambleaSV https://t.co/hyVIys4fuL"
"421","YA NO HAY EXCUSA @AsambleaSV  #PRESUPUESTO2020YA https://t.co/5mopFuYrNZ"
"422","Senores @AsambleaSV
 @FMLNoficial @ARENAOFICIAL #PRESUPUESTO2020YA"
"423","ESTE ES EL DIA @AsambleaSV 
#PRESUPUESTO2020YA https://t.co/sba5hBn4sk"
"424","SE LLEGO EL DIA...NUESTRO APOYO DESDE CANADA...
#PRESUPUESTO2020YA https://t.co/NrJd2ROtJu"
"425","Nos vemos desde la asamblea #PRESUPUESTO2020YA"
"426","#PRESUPUESTO2020YA ."
"427","Hoy es el Día Señores Diputados
Exigimos se Apruebe el Presupuesto 2020.
#Presupuesto2020Ya https://t.co/7O6yQtGl2G"
"428","Hoy es el Día 12/12/19
#Presupuesto2020Ya https://t.co/YgZ7Qj4NNy"
"429","Hoy es el Dia
#Presupuesto2020Ya https://t.co/xbpCuYpJ98"
"430","#Presupuesto2020Ya https://t.co/xbpCuYpJ98"
"431","#NoHayExcusas
Hoy se debe de Aprobar el Presupuesto2020
#Presupuesto2020Ya https://t.co/qIMGkHmBjf"
"432","Señores Diputados 
El Pueblo les Exigimos
Aprueben el Presupuesto
Ustedes fueron Elegidos 
Para Legislar para El Pueblo,No para Intereses Partidarios.
#Presupuesto2020Ya https://t.co/Snb1yydQV6"
"433","Señores Diputados Llego el día
#Presupuesto2020Ya https://t.co/3xkucpmYUY"
"434","#Presupuesto2020Ya https://t.co/CwkV2kukC4"
"435","@JOBA2517 Aunque cierren el portón la voz del pueblo SI se hará escuchar! #PRESUPUESTO2020YA #PRESUPUESTO2020YA #PRESUPUESTO2020YA @AsambleaSV"
"436","No más excusas #PRESUPUESTO2020YA"
"437","@nayibbukele Hoy es el día #PRESUPUESTO2020YA"
"438","A puro HT quieren que se apruebe el presupuesto, así que bien que a puro HT se sabe #QuienPagoElViajeDeOsiris <U+0001F923>

#PRESUPUESTO2020YA"
"439","#Presupuesto2020ya"
"440","Llego el día, la educación del país lo necesita!
#Presupuesto2020Ya  #PresupuestoYA 
@sandracanales82
@waraujo64 
@chinchontepec22
@FrankMenendezTX
@JohannaCalleja9
@LChiks1912
@sandracanales82 
@FMLNoficial
@ARENAfraccion
@Almagro_OEA2015 https://t.co/JVDXDsTKdD"
"441","Llego la hora! O están a favor de una agenda política partidaria o con la población! #Presupuesto2020Ya  #PresupuestoYA 
@sandracanales82

@waraujo64
 
@chinchontepec22

@FrankMenendezTX

@JohannaCalleja9

@LChiks1912

@sandracanales82
 
@FMLNoficial

@ARENAfraccion https://t.co/UNIIt3OtBL"
"442","@ybukele #PRESUPUESTO2020YA no tienen porque detener el PROGRESO."
"443","@LaTabuda #PRESUPUESTO2020YA."
"444","#PRESUPUESTO2020YA @AsambleaSV"
"445","#PRESUPUESTO2020YA"
"446","#PRESUPUESTO2020YA
@AsambleaSV
@ARENAfraccion
@gpfmln https://t.co/hQW93IWEeW"
"447","Buenos días a todos , ahora es el día que nuestra voz sea escuchada y de hacer ver que podemos exigir lo que al pueblo le corresponde. 

 @nayibbukele el pueblo está con usted ! 

#Presupuesto2020YA"
"448","@carlosreyesrr @ARENAfraccion @Nelfuent @CarolinaElSalva #presupuesto2020ya"
"449","#PRESUPUESTO2020YA"
"450","@norman_quijano  @AsambleaSV   Queremos #PRESUPUESTO2020YA"
"451","Todos los ministros han desfilado por la Asamblea Legislativa, a petición de los diputados, para que les expliquen cómo se invertirá el presupuesto 2020, no hay excusa para no aprobarlo. #Presupuesto2020YA"
"452","#PRESUPUESTO2020YA https://t.co/P840pOlkrS"
"453","@AsambleaSV  

((((((***************APRETEN EL BOTON **************)))))))))

#PRESUPUESTO2020YA 
#PresupuestoYA 
#PlanControlTerritorial"
"454","@AsambleaSV 
#PRESUPUESTO2020YA 
#PresupuestoYA 
#devuelvanlorobado 
#PlanControlTerritorial"
"455","#Presupuesto2020Ya https://t.co/foepBaeL7n"
"456","Diputada @Villabull el pueblo le exige que aprueben el #Presupuesto2020Ya #PresupuestoYA y que #AprietenElBoton <U+0001F44A> https://t.co/mftPfhS84l"
"457","#PRESUPUESTO2020YA"
"458","@marioponcesv #PRESUPUESTO2020YA"
"459","@norman_quijano @Tita_Batres @GPMElSalvador @AudeliaLopez4 #PRESUPUESTO2020YA"
"460","@AsambleaSV @marioponcesv @NoticieroHechos #PRESUPUESTO2020YA"
"461","#PRESUPUESTO2020YA"
"462","@AsambleaSV @marioponcesv #PRESUPUESTO2020YA"
"463","@marioponcesv #PRESUPUESTO2020YA"
"464","@AsambleaSV @ChinoFloressv @gpfmln @radio102nueve #PRESUPUESTO2020YA"
"465","@nayibbukele #PRESUPUESTO2020YA"
"466","Algo tan importante y básico para nuestra población está en  las manos de las fracciones del @ARENAfraccion y el @gpfmln la población está a la expectativa. #Presupuesto2020Ya #PresupuestoYA 
@waraujo64 @chinchontepec22
@FrankMenendezTX @JohannaCalleja9
@sandracanales82 https://t.co/ttRcEkpwHf"
"467","El presidente no está solo @AsambleaSV hoy nos vemos en la concentración <U+0001F44A> #PRESUPUESTO2020YA #PresupuestoYA"
"468","@cinco_zavala #PRESUPUESTO2020YA  ni un día mas @AsambleaSV  a favor de el pueblo o en contra @ravelpak  pensamiento propio o ganas de joder @rodolfo_parker"
"469","#PRESUPUESTO2020YA"
"470","Señores diputados que se oponen cuantos mas tenemos que pedircelos?
#PRESUPUESTO2020YA https://t.co/ksbULwiEOd"
"471","@nayibbukele #PRESUPUESTO2020YA"
"472","#PRESUPUESTO2020YA @AsambleaSV"
"473","@nayibbukele No hay excusas #PRESUPUESTO2020YA"
"474","Ya no hay excusas para no aprobar el presupuesto.
#Presupuesto2020Ya! https://t.co/CaYMp6QrIB"
"475","#PRESUPUESTO2020YA"
"476","Nosotros lo merecemos, el pueblo se lo merece, VOS que estas leyendo este tuit te lo mereces como ciudadano de este país.
#Presupuesto2020Ya #PresupuestoYA #AprietenElBoton y apoyemos al Presidente @nayibbukele <U+0001F44A> https://t.co/MnjyHYSonU"
"477","#PRESUPUESTO2020YA"
"478","<U+0001F1F8><U+0001F1FB> Hoy es el día, de que los diputados nos demuestren que tienen la capacidad de pensar como nación y dejar de lado los intereses partidarios. Somos una sola nación <U+0001F1F8><U+0001F1FB>

#PRESUPUESTO2020YA https://t.co/2YmloFmkXq"
"479","@AsambleaSV @ravelpak @rodolfo_parker @norman_quijano @ChatoVargasSV  y todas los demás parásitos que se oponen al  presupuesto 2020  ya basta  queremos el presupuesto aprobado este día #PRESUPUESTO2020YA"
"480","Hey @AsambleaSV #AprietenElBoton para aprobar el #Presupuesto2020Ya #PresupuestoYA <U+0001F624><U+0001F9D0>"
"481","No recuerdo otra ocasión que los diputados hayan llorado tanto por no aprobar el presupuesto! <U+0001F624>
#PresupuestoYA #Presupuesto2020Ya #AprieteElBoton"
"482","#PRESUPUESTO2020YA y #DEVUELVANLOROBADO HP"
"483","#PRESUPUESTO2020YA #nayibbukele presupuesto2020 https://t.co/1joxp54Qwc"
"484","@AsambleaSV 

Señores y señoras diputados 

Hoy es el día que tienen que apretar el botón para aprobar el #PRESUPUESTO2020YA 

    #PRESUPUESTO2020YA 

     #PRESUPUESTO2020YA"
"485","#PRESUPUESTO2020YA https://t.co/HkcIfXZ5if"
"486","#PRESUPUESTO2020YA #Presupuesto2020ya https://t.co/5KtZ8eK8vz"
"487","Tengan un poco de decencia y dejen de meterse la daga solos Diputados @AsambleaSV
#PRESUPUESTO2020YA!"
"488","Hoy es el día 
#PRESUPUESTO2020YA 
#PlanControlTerritorial 
Por el bien de todos https://t.co/pI1Da22TT0"
"489","Hoy es el gran dia mi presidente, el pueblo esta listo ya.
#PRESUPUESTO2020YA 
Usted no esta solo https://t.co/vumxypTp3K"
"490","Todo mi apoyo a todos los que se presentaran en la Asamblea para exigir la aprobación del Presupuesto 2020 y apoyo el presupuesto de su gestión Sr Presidente. @nayibbukele 
#PRESUPUESTO2020YA
#HAGAMOSHISTORIA 
@AsambleaSV 
#PRESUPUESTO2020YA https://t.co/Uus8kC0d3t"
"491","#PRESUPUESTO2020YA
@AsambleaSV 
Por el bien del pueblo Salvadoreño."
"492","@waraujo64 @AsambleaSV #PRESUPUESTO2020YA"
"493","@nayibbukele #PRESUPUESTO2020YA <U+0001F64F><U+0001F64F>
<U+0001F1F8><U+0001F1FB><U+0001F1F8><U+0001F1FB><U+0001F1F8><U+0001F1FB><U+0001F1F8><U+0001F1FB><U+0001F1F8><U+0001F1FB><U+0001F1F8><U+0001F1FB><U+0001F1F8><U+0001F1FB><U+0001F1F8><U+0001F1FB><U+0001F1F8><U+0001F1FB><U+0001F1F8><U+0001F1FB><U+0001F1F8><U+0001F1FB>"
"494","@nayibbukele Llegó el dia.. #PRESUPUESTO2020YA"
"495","Aunque no pueda estar en la Asamblea Legislativa solo quiero dejar en claro que comparto sus objetivos

#PRESUPUESTO2020YA
#PRESUPUESTO2020YA"
